review_id,user_id,game_id,complexity_score,gameplay_score,visual_score,overall_score,row_creation_time_utc
r1,u5,g9,1,1,1,1,2020-12-01 12:00:00
r2,u4,g32,5,3,2,3,2020-12-01 12:00:00
r3,u11,g36,1,3,3,2,2020-12-01 12:00:00
r4,u3,g44,4,5,5,4,2020-12-01 12:00:00
r5,u2,g1,2,4,4,3,2020-12-01 12:00:00
r6,u19,g33,1,2,1,1,2020-12-01 12:00:00
r7,u11,g35,4,1,1,2,2020-12-01 12:00:00
r8,u11,g38,4,2,3,3,2020-12-01 12:00:00
r9,u7,g43,1,2,1,1,2020-12-01 12:00:00
r10,u4,g49,1,3,3,2,2020-12-01 12:00:00
r11,u13,g21,4,4,5,4,2020-12-01 12:00:00
r12,u9,g35,5,2,3,3,2020-12-01 12:00:00
r13,u10,g25,4,3,5,4,2020-12-01 12:00:00
r14,u20,g43,2,4,3,3,2020-12-01 12:00:00
r15,u15,g41,2,1,1,1,2020-12-01 12:00:00
r16,u15,g11,4,4,4,4,2020-12-01 12:00:00
r17,u18,g34,4,4,3,3,2020-12-01 12:00:00
r18,u17,g3,4,4,4,4,2020-12-01 12:00:00
r19,u8,g22,3,1,2,2,2020-12-01 12:00:00
r20,u11,g10,2,4,3,3,2020-12-01 12:00:00
r21,u8,g42,1,4,1,2,2020-12-01 12:00:00
r22,u12,g34,5,4,5,4,2020-12-01 12:00:00
r23,u20,g10,1,5,2,2,2020-12-01 12:00:00
r24,u18,g3,5,5,5,5,2020-12-01 12:00:00
r25,u5,g24,2,4,2,2,2020-12-01 12:00:00
r26,u5,g5,1,3,3,2,2020-12-01 12:00:00
r27,u18,g33,5,4,3,4,2020-12-01 12:00:00
r28,u20,g46,1,1,3,1,2020-12-01 12:00:00
r29,u16,g7,3,2,1,2,2020-12-01 12:00:00
r30,u15,g47,5,4,3,4,2020-12-01 12:00:00
r31,u4,g16,2,1,3,2,2020-12-01 12:00:00
r32,u9,g29,2,3,4,3,2020-12-01 12:00:00
r33,u5,g14,3,3,3,3,2020-12-01 12:00:00
r34,u8,g27,2,1,5,2,2020-12-01 12:00:00
r35,u2,g39,3,4,2,3,2020-12-01 12:00:00
r36,u11,g8,1,5,3,3,2020-12-01 12:00:00
r37,u16,g12,3,1,2,2,2020-12-01 12:00:00
r38,u20,g26,3,1,2,2,2020-12-01 12:00:00
r39,u20,g15,3,2,3,2,2020-12-01 12:00:00
r40,u9,g12,5,3,1,3,2020-12-01 12:00:00
r41,u20,g18,1,1,5,2,2020-12-01 12:00:00
r42,u2,g4,3,4,2,3,2020-12-01 12:00:00
r43,u17,g33,2,1,5,2,2020-12-01 12:00:00
